CBScode,Municipality,Province,Population,Population_density(p/km),"HIC: Theft / burglary dwelling, complete","HIC: Theft / burglary dwelling, attempts",HIC: Violent Crime,HIC: Street Roof,HIC: Robberies,Undermining public order,Threat,Fire / Explosion,"Theft of moped, moped, bike",Theft of / from vehicles,Theft of motor vehicles,Theft / burglary companies / institutions,Theft / burglary garage / barn / shed,Drug trafficking,Trespassing,mistreatment,Overt violence (person),Or destruction. cause damage,Arms Trade,pickpocketing,morals Felony
GM1680,Aa en Hunze,Drenthe,25243,93,39,17,51,0,0,0,21,5,37,12,3,16,12,2,2,30,0,107,1,2,15
GM0738,Aalburg,North Brabant,12859,253,7,6,29,0,2,1,14,3,21,32,6,10,4,4,1,15,0,35,1,2,6
GM0358,Aalsmeer,North Holland,30792,1486,60,20,112,2,0,0,47,5,91,97,14,47,17,11,7,64,1,115,3,7,12
GM0197,Aalten,Gelderland,27030,283,25,11,68,0,0,0,37,3,68,44,7,21,15,9,5,28,3,59,4,4,6
GM0059,Achtkarspelen,Friesland,28002,274,27,2,99,0,0,6,31,4,43,21,2,48,5,21,0,66,2,114,3,3,8
GM0482,Alblasserdam,South Holland,19822,2216,24,11,82,2,0,2,31,3,34,34,8,11,12,5,1,41,10,107,3,7,5
GM0613,Albrandswaard,South Holland,25044,1143,55,29,116,3,3,2,49,12,140,92,19,21,13,6,0,62,5,130,2,3,4
GM0361,Alkmaar,North Holland,94906,3222,274,169,601,11,5,51,219,31,1007,235,58,173,122,58,18,348,34,883,36,154,56
GM0141,Almelo,Overijssel,72435,1079,215,44,467,12,6,26,195,25,636,125,21,79,98,42,15,255,17,516,21,36,26
GM0034,Almere,Flevoland,196156,1490,555,346,1256,95,15,90,447,49,1030,650,138,304,116,274,24,758,51,1209,66,186,75
GM0484,Alphen aan den Rijn,South Holland,106809,844,165,116,389,10,6,11,161,17,614,318,34,134,88,45,6,215,13,424,18,44,49
GM1723,Alphen-Chaam,North Brabant,9712,102,27,7,23,0,0,2,11,1,15,14,4,16,20,5,0,12,0,35,1,6,3
GM0060,Ameland,Friesland,3565,60,3,0,17,0,0,0,4,2,8,7,0,0,1,3,0,13,0,30,0,2,3
GM0307,Amersfoort,Utrecht,150943,2358,318,242,655,21,13,50,210,45,1076,767,62,258,94,94,17,398,47,988,44,199,46
GM0362,Amstelveen,North Holland,85135,2011,195,95,291,21,5,12,118,12,505,528,97,135,54,56,13,163,10,348,10,140,33
GM0363,Amsterdam,North Holland,853312,4767,2962,1351,7645,1331,176,1115,3017,243,11536,9155,1597,3264,974,1293,265,4356,272,4956,556,8009,530
GM0200,Apeldoorn,Gelderland,157535,462,392,130,651,20,9,43,235,35,850,747,103,242,186,86,23,390,26,873,45,142,57
GM0003,Appingedam,Groningen,12049,507,24,12,67,0,1,3,27,0,27,11,5,56,6,2,0,40,0,54,1,3,3
GM0202,Arnhem,Gelderland,150817,1523,493,172,1216,57,12,150,435,70,1599,886,337,266,210,174,47,686,95,1274,63,500,102
GM0106,Assen,Drenthe,67209,820,124,51,385,12,0,29,135,33,612,124,20,72,63,50,18,223,27,465,16,46,39
GM0743,Asten,North Brabant,16479,234,37,8,66,1,0,0,33,4,68,34,15,30,29,18,3,31,2,72,2,8,10
GM0744,Baarle-Nassau,North Brabant,6617,88,6,5,22,1,1,3,10,0,15,12,4,9,14,4,0,12,0,17,0,4,0
GM0308,Baarn,Utrecht,24344,749,68,48,95,0,2,4,41,12,105,110,8,25,15,13,1,43,11,183,6,13,2
GM0489,Barendrecht,South Holland,47375,2373,87,54,125,10,0,0,57,4,414,257,41,65,26,6,7,63,5,180,6,24,19
GM0203,Barneveld,Gelderland,54176,304,93,37,145,0,2,14,67,6,209,174,33,68,55,15,2,70,8,156,4,14,31
GM0005,Bedum,Groningen,10475,236,10,2,19,0,0,0,5,1,14,2,0,2,3,1,0,14,0,44,0,1,6
GM0888,Beek,Limburg,16268,783,40,14,87,2,1,0,23,1,159,81,33,29,33,7,0,53,11,97,3,23,2
GM0370,Beemster,North Holland,8919,124,11,5,20,0,0,0,8,0,13,13,3,11,3,2,0,12,0,37,0,1,3
GM0889,Beesel,Limburg,13593,488,28,10,39,1,0,1,13,0,39,22,3,11,12,6,1,26,0,65,1,4,2
GM0007,Bellingwedde,Groningen,8908,86,13,4,30,0,0,3,12,3,5,4,0,3,8,2,1,18,0,35,1,0,0
GM1945,Berg en Dal,Gelderland,18956,428,80,25,138,1,1,3,52,12,89,110,21,37,29,3,2,77,9,114,2,6,10
GM1724,Bergeijk,North Brabant,18250,179,40,8,27,0,0,0,14,2,56,36,26,22,24,9,0,13,0,43,0,8,6
GM0893,Bergen (LI),Limburg,13230,128,33,6,41,0,2,1,14,4,14,45,6,8,22,4,1,25,2,36,2,6,1
GM0373,Bergen (NH),North Holland,30075,316,63,16,78,3,2,7,16,10,133,37,16,60,33,5,5,58,4,177,2,18,12
GM0748,Bergen op Zoom,North Brabant,66423,826,120,41,377,11,5,34,139,20,409,243,41,79,90,113,18,223,15,489,18,72,35
GM1859,Berkelland,Gelderland,44650,174,67,22,122,0,2,6,53,3,43,31,9,42,23,5,1,67,2,132,7,2,9
GM1721,Bernheze,North Brabant,29703,332,46,11,77,0,2,5,32,3,121,59,30,33,46,10,2,37,8,119,8,5,3
GM0753,Best,North Brabant,28594,836,36,14,109,3,1,1,40,8,178,112,24,40,18,29,1,63,6,102,4,36,7
GM0209,Beuningen,Gelderland,25254,582,44,15,56,1,1,1,15,10,105,81,26,43,27,4,0,40,1,102,5,9,6
GM0375,Beverwijk,North Holland,40052,2172,98,53,229,3,8,3,64,10,223,106,23,52,34,23,6,155,10,318,22,123,13
GM0063,"Bildt, hethet Bildt",Friesland,10633,117,13,4,30,0,0,1,11,1,26,16,1,11,10,1,0,19,0,35,0,0,6
GM0310,"Bilt, DeDe Bilt",Utrecht,42013,635,130,50,102,3,3,3,33,3,137,175,24,53,46,7,1,64,5,205,7,19,7
GM0585,Binnenmaas,South Holland,28682,418,20,18,73,2,1,3,25,3,18,63,7,12,12,30,0,44,4,114,7,2,4
GM1728,Bladel,North Brabant,19825,260,30,5,59,0,0,2,19,3,80,33,13,23,43,17,0,36,4,110,2,5,7
GM0376,Blaricum,North Holland,9112,813,51,31,24,2,2,0,12,0,24,120,3,13,3,6,0,11,1,48,1,2,1
GM0377,Bloemendaal,North Holland,22077,555,61,25,73,0,0,6,17,3,89,132,14,12,13,12,0,49,7,116,3,23,3
GM1901,Bodegraven-Reeuwijk,South Holland,32986,434,91,89,86,2,0,5,39,5,128,204,20,32,34,19,1,45,2,106,5,3,14
GM0755,Boekel,North Brabant,10089,289,13,0,22,0,0,0,14,4,36,15,3,21,31,0,2,8,0,34,1,1,4
GM0009,"Boer, TenTen Boer",Groningen,7465,165,7,0,9,0,0,0,4,0,11,2,0,12,2,0,0,5,0,24,0,1,0
GM1681,Borger-Odoorn,Drenthe,25633,94,34,8,77,1,0,0,27,7,22,20,2,16,26,10,1,50,0,66,4,1,5
GM0147,Borne,Overijssel,21901,830,34,15,48,0,2,1,26,2,58,21,2,17,16,8,0,21,1,91,5,6,4
GM0654,Borsele,Zeeland,22592,160,25,5,38,0,0,3,20,5,10,19,5,18,7,9,1,17,1,55,5,2,3
GM0756,Boxmeer,North Brabant,28135,255,51,11,76,2,1,3,35,5,122,50,18,46,57,6,2,35,6,130,2,12,21
GM0757,Boxtel,North Brabant,30325,475,84,26,143,1,2,9,54,5,214,144,16,41,26,13,2,76,13,169,4,10,16
GM0758,Breda,North Brabant,179999,1400,451,180,1241,43,18,86,449,28,1505,1442,191,287,302,309,34,737,55,1188,64,414,108
GM0501,Brielle,South Holland,16306,583,18,18,54,1,2,4,14,3,54,33,5,14,17,8,0,34,6,110,3,7,4
GM1876,Bronckhorst,Gelderland,36941,132,76,23,38,0,0,3,9,1,39,29,9,21,42,1,2,28,1,76,1,3,9
GM0213,Brummen,Gelderland,21169,254,54,13,50,0,0,0,16,5,76,24,6,17,46,3,1,33,1,83,2,2,3
GM0899,Brunssum,Limburg,28914,1697,92,76,122,3,2,5,60,13,153,157,68,33,173,33,0,61,1,186,9,13,4
GM0312,Bunnik,Utrecht,14619,391,29,18,36,1,1,1,9,1,39,117,4,24,9,12,1,23,4,34,1,13,5
GM0313,Bunschoten,Utrecht,20547,664,27,11,60,0,0,4,18,4,99,34,6,37,4,1,1,38,4,74,4,5,1
GM0214,Buren,Gelderland,25995,193,42,21,80,1,3,3,25,4,23,48,13,9,18,10,4,54,1,91,7,1,4
GM0502,Capelle aan den IJssel,South Holland,66177,4640,169,97,366,30,13,11,168,8,345,298,88,75,109,61,5,174,24,361,27,34,27
GM0383,Castricum,North Holland,34244,694,43,23,78,6,0,6,21,5,212,57,14,31,13,5,1,53,4,213,0,18,5
GM0109,Coevorden,Drenthe,35771,121,80,18,136,2,1,4,51,8,85,60,19,54,39,12,1,81,4,161,12,10,11
GM1706,Cranendonck,North Brabant,20388,267,39,22,89,0,1,6,31,4,98,38,12,17,35,22,0,56,2,76,7,8,9
GM0611,Cromstrijen,South Holland,12748,235,12,7,18,0,0,1,4,0,19,54,2,12,6,15,0,13,1,34,4,0,7
GM1684,Cuijk,North Brabant,24780,481,47,19,85,0,1,3,38,8,68,71,17,30,23,15,4,42,5,128,6,15,13
GM0216,Culemborg,Gelderland,27579,939,83,47,120,2,0,1,51,60,151,283,19,35,29,6,0,67,2,211,5,17,7
GM0148,Dalfsen,Overijssel,27655,166,31,20,22,2,0,0,14,1,22,23,9,13,16,3,1,8,0,46,1,2,5
GM1891,Dantumadiel,Friesland,19035,226,11,5,52,1,1,2,20,3,26,5,2,7,8,13,3,32,0,66,2,0,5
GM1940,De Fryske Marren,Friesland,51223,142,65,26,131,0,0,9,38,12,81,80,20,42,29,10,2,86,7,262,2,7,19
GM0503,Delft,South Holland,101493,4218,348,134,441,30,2,32,144,29,1677,402,96,184,118,44,16,284,13,570,20,133,48
GM0010,Delfzijl,Groningen,25686,198,49,27,158,1,1,6,49,9,103,35,8,45,15,9,4,100,9,151,7,9,18
GM0762,Deurne,North Brabant,31669,271,69,17,98,1,1,6,38,3,269,85,30,35,25,38,2,56,4,129,4,10,19
GM0150,Deventer,Overijssel,98327,752,259,128,544,7,6,25,210,57,696,406,35,128,95,66,32,319,15,570,33,78,57
GM0384,Diemen,North Holland,25980,2080,87,39,148,36,4,7,67,0,132,163,58,72,31,13,1,78,3,135,7,32,5
GM1774,Dinkelland,Overijssel,25937,148,27,7,26,0,0,2,4,2,43,10,2,19,13,4,1,21,1,43,2,5,3
GM0221,Doesburg,Gelderland,11449,1002,30,8,24,0,0,0,7,2,40,17,6,17,9,3,1,14,3,167,1,1,6
GM0222,Doetinchem,Gelderland,56350,711,85,33,279,4,0,11,91,11,253,133,36,86,49,25,15,153,35,323,12,23,15
GM0766,Dongen,North Brabant,25389,861,35,15,77,1,0,5,41,11,83,98,15,23,22,5,1,34,2,91,5,8,3
GM0058,Dongeradeel,Friesland,24183,145,15,7,78,0,0,1,35,1,54,10,2,20,0,14,2,43,0,87,2,1,12
GM0505,Dordrecht,South Holland,118716,1504,198,56,757,43,10,54,273,51,778,569,78,160,151,178,17,442,42,829,93,96,63
GM0498,Drechterland,North Holland,19257,327,22,5,60,4,0,1,16,2,58,18,7,11,11,4,2,41,3,63,3,4,2
GM1719,Drimmelen,North Brabant,26705,277,27,21,49,0,0,0,21,1,51,98,17,18,29,12,0,27,1,95,2,6,8
GM0303,Dronten,Flevoland,40451,121,84,37,123,5,1,2,39,6,148,78,8,56,17,167,7,74,10,170,6,88,16
GM0225,Druten,Gelderland,18206,482,31,12,43,2,1,2,13,3,50,31,4,19,29,7,0,27,3,187,3,4,7
GM0226,Duiven,Gelderland,25580,752,50,32,42,0,0,2,15,6,81,99,17,21,14,9,1,26,1,100,1,10,9
GM1711,Echt-Susteren,Limburg,31940,312,58,27,114,1,2,3,41,13,130,72,32,36,34,19,3,72,1,118,9,10,9
GM0385,Edam-Volendam,North Holland,28934,1760,30,11,79,3,2,3,22,2,98,42,10,17,5,13,1,53,4,79,3,56,3
GM0228,Ede,Gelderland,110657,342,293,175,454,5,3,32,160,54,974,316,41,153,87,23,15,272,22,539,16,71,62
GM0317,Eemnes,Utrecht,8773,284,12,7,25,1,0,1,16,1,16,42,3,13,6,3,0,9,0,32,3,3,1
GM1651,Eemsmond,Groningen,15910,86,9,1,78,0,0,1,33,3,23,10,3,9,8,7,0,45,0,95,2,1,12
GM0770,Eersel,North Brabant,18201,220,40,20,32,0,0,3,12,3,61,50,16,26,39,114,1,20,0,62,3,23,3
GM1903,Eijsden-Margraten,Limburg,24980,323,40,20,39,1,1,3,20,3,64,26,17,41,31,13,5,18,1,93,3,8,3
GM0772,Eindhoven,North Brabant,220782,2476,713,265,1717,96,25,116,567,81,2599,2802,369,491,350,189,60,1023,127,1821,57,1232,160
GM0230,Elburg,Gelderland,22658,351,32,12,50,1,0,4,19,4,67,30,17,11,17,14,0,31,0,89,4,4,10
GM0114,Emmen,Drenthe,108003,324,225,60,588,9,1,16,203,37,485,202,29,181,135,51,9,362,23,561,21,35,46
GM0388,Enkhuizen,North Holland,18395,1471,24,8,98,3,1,4,39,7,131,34,8,23,27,4,3,55,4,149,2,4,6
GM0153,Enschede,Overijssel,158542,1121,607,176,834,17,23,60,318,75,2366,561,67,295,262,157,21,471,45,1115,104,130,74
GM0232,Epe,Gelderland,32352,208,72,26,80,0,0,5,33,5,74,78,12,36,53,29,3,47,0,157,12,10,5
GM0233,Ermelo,Gelderland,26080,305,72,30,158,6,1,4,66,10,132,68,4,55,33,21,3,89,3,152,6,15,15
GM0777,Etten-Leur,North Brabant,42351,760,52,36,230,0,0,8,103,12,195,220,26,59,63,35,9,120,7,280,9,35,17
GM1722,Ferwerderadiel,Friesland,8771,90,8,1,10,0,0,1,4,1,15,1,3,3,9,0,0,6,0,40,0,0,1
GM0070,Franekeradeel,Friesland,20437,200,25,9,71,0,0,3,30,9,48,22,2,13,5,4,1,40,1,117,3,2,16
GM0779,Geertruidenberg,North Brabant,21597,806,26,17,64,1,1,3,25,1,68,71,15,47,9,9,1,37,2,198,5,10,4
GM0236,Geldermalsen,Gelderland,26339,263,52,31,102,2,1,2,33,2,93,152,18,27,21,17,0,63,6,146,5,10,11
GM1771,Geldrop-Mierlo,North Brabant,38854,1247,80,32,127,1,2,8,42,22,261,162,26,59,67,31,2,70,15,248,12,12,18
GM1652,Gemert-Bakel,North Brabant,29354,237,52,17,81,1,1,4,33,17,121,54,9,19,56,21,3,42,6,117,3,14,12
GM0907,Gennep,Limburg,17285,364,36,11,50,0,0,1,25,4,45,30,13,19,22,5,0,24,1,54,0,11,5
GM0689,Giessenlanden,South Holland,14423,228,25,6,16,0,0,1,6,1,22,41,4,12,24,15,2,10,0,44,2,1,5
